тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
TOTAL;1203010;Керівництво та управління у сфері державного резерву;33612600;30251300;;;;28378487.14;;;93.8
TOTAL;1203020;Обслуговування державного матеріального резерву;399691000;369197684;;;;234151076.93;;;63.42
TOTAL;1203040;Накопичення (приріст) матеріальних цінностей державного матеріального резерву;967550000;967550000;;;;0;;;0
TOTAL;1206000;Державна служба з питань праці;632858700;566284292.11;;;;561604030.5;;;99.17
TOTAL;1206010;Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю;621680500;559521663.94;;;;554905453.84;;;99.17
TOTAL;1206020;Наукова і науково-технічна діяльність у сфері промислової безпеки та охорони праці;11178200;6762628.17;;;;6698576.66;;;99.05
TOTAL;1208000;Державна служба експортного контролю України;58317500;45695900;;;;45416264.06;;;99.38
TOTAL;1208010;Керівництво та управління у сфері експортного контролю;58317500;45695900;;;;45416264.06;;;99.38
TOTAL;1209000;Державна служба України з питань безпечності харчових продуктів та захисту споживачів;6960845500;0;;;;0;;;
TOTAL;1209010;Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів;2271134100;0;;;;0;;;
TOTAL;1209020;Протиепізоотичні заходи та участь у Міжнародному епізоотичному бюро;878639800;0;;;;0;;;
TOTAL;1209030;Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів;3580429800;0;;;;0;;;
TOTAL;1209040;Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду);83697800;0;;;;0;;;
TOTAL;1209610;Заходи з будівництва прикордонних інспекційних постів та покращення доступу сільськогосподарських МСП до експортних ринків;146944000;0;;;;0;;;
TOTAL;1210000;Міністерство економіки України (загальнодержавні видатки та кредитування);3332375800;123515174.18;;;;120284037.33;;;97.38
TOTAL;1211000;Міністерство економіки України (загальнодержавні видатки та кредитування);3332375800;123515174.18;;;;120284037.33;;;97.38
TOTAL;1211050;Мобілізаційна підготовка галузей національної економіки України;115100800;123515174.18;;;;120284037.33;;;97.38
TOTAL;1211120;Державні капітальні вкладення на розроблення та реалізацію державних інвестиційних проектів;3217275000;0;;;;0;;;
TOTAL;1400000;Міністерство закордонних справ України;5795328700;5207415148.04;;;;4544444123.45;;;87.26
TOTAL;1401000;Апарат Міністерства закордонних справ України;5795328700;5207415148.04;;;;4544444123.45;;;87.26
TOTAL;1401010;Керівництво та управління у сфері державної політики щодо зовнішніх відносин;340215000;312905128.4;;;;305944547.64;;;97.77
TOTAL;1401020;Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів;632710000;569439000;;;;407444952.98;;;71.55
TOTAL;1401030;Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ;4605859300;4136746410;;;;3713718595.26;;;89.77
TOTAL;1401050;Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України;26077000;23469300;;;;10551352.86;;;44.95
TOTAL;1401100;Професійне навчання посадових осіб дипломатичної служби та працівників інших державних органів у сфері зовнішніх зносин;21148500;19360340.28;;;;19004390.99;;;98.16
TOTAL;1401110;Фінансова підтримка забезпечення міжнародного позитивного іміджу України, забезпечення діяльності Українського інституту, заходи щодо підтримки зв'язків з українцями, які проживають за межами України;94095900;84997243.67;;;;39370636.4;;;46.31
TOTAL;1401130;Документування громадян та створення і забезпечення функціонування інформаційно-телекомунікаційних систем консульської служби;75223000;60497725.69;;;;48409647.32;;;80.01
TOTAL;1500000;Міністерство у справах ветеранів України;522762600;651384358;;;;387741507.74;;;59.52
TOTAL;1501000;Апарат Міністерства у справах ветеранів України;522762600;651384358;;;;387741507.74;;;59.52
TOTAL;1501010;Керівництво та управління у справах ветеранів;140540000;135772207.99;;;;121943024.45;;;89.81
TOTAL;1501030;Фінансова підтримка громадських об’єднань ветеранів на виконання загальнодержавних програм (проектів, заходів), заходи з відвідування військових поховань і військових пам’ятників та з відзначення святкових, пам’ятних та історичних дат;8560200;7704200;;;;144480.21;;;1.87
TOTAL;1501040;Заходи із психологічної реабілітації, соціальної та професійної адаптації, забезпечення санаторно-курортним лікуванням постраждалих учасників Революції Гідності, учасників антитерористичної операції та осіб, які здійснювали заходи із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, та членів їх сімей (при здійсненні заходів із психологічної реабілітації), членів сімей загиблих (померлих) таких осіб, виготовлення для них бланків посвідчень та нагрудних знаків;276761000;249129964.01;;;;67878912.24;;;27.24
TOTAL;1501090;Функціонування Українського ветеранського фонду, героїзація образу ветерана війни та вшанування пам’яті загиблих (померлих) захисників України;96901400;79601056;;;;39595510.84;;;49.74
TOTAL;1501700;Надання одноразової грошової допомоги членам сімей осіб, які загинули (померли) під час участі в антитерористичній операції, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федераці;0;179176930;;;;158179580;;;88.28
TOTAL;1510000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);5496131500;0;;;;0;;;
TOTAL;1511000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);5496131500;0;;;;0;;;
TOTAL;1511040;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених абзацами 5-8 пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I-II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, визначених пунктами 11-14 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;1733107500;0;;;;0;;;
